id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
63,437.0,18,0.0,0.0,21897.0,0.0,0.0,this-app-is-literally-steroids-for-your-brain,This app is literally steroids for your brain,ZK4Tddo,001927.63a47dabd2034b889c295bcc1257d2df.1558
63,629.0,5,0.0,0.0,0.0,100.0,55399.0,this-app-is-literally-steroids-for-your-brain,This app is literally steroids for your brain,ZK4Tddo,001927.63a47dabd2034b889c295bcc1257d2df.1558
64,448.0,44,73802.0,0.0,0.0,0.0,0.0,gratitude-acc,Gratitude/Acc 🖖🫡,T9Uf3Rm,000303.be708e25264140db8be1cebba7707a28.2119
64,428.0,18,0.0,0.0,21982.0,0.0,0.0,gratitude-acc,Gratitude/Acc 🖖🫡,T9Uf3Rm,000303.be708e25264140db8be1cebba7707a28.2119
64,36.0,5,0.0,0.0,0.0,94.0,55404.0,gratitude-acc,Gratitude/Acc 🖖🫡,T9Uf3Rm,000303.be708e25264140db8be1cebba7707a28.2119
65,447.0,44,73838.0,0.0,0.0,0.0,0.0,tiktok-steals-your-dreams-we-help-you-attain-them,"tiktok steals your dreams, we help you attain them",7kjPNvP,000696.b213405e4294424bb1999815127bfe1c.0425
65,427.0,18,0.0,0.0,21989.0,0.0,0.0,tiktok-steals-your-dreams-we-help-you-attain-them,"tiktok steals your dreams, we help you attain them",7kjPNvP,000696.b213405e4294424bb1999815127bfe1c.0425
65,143.0,1,0.0,0.0,0.0,22.0,55405.0,tiktok-steals-your-dreams-we-help-you-attain-them,"tiktok steals your dreams, we help you attain them",7kjPNvP,000696.b213405e4294424bb1999815127bfe1c.0425
66,446.0,44,73870.0,0.0,0.0,0.0,0.0,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,20yQHFT,000683.70082eeaa84b4816bb56b966dc9e6568.0722
66,61.0,5,0.0,7859.0,0.0,0.0,0.0,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,20yQHFT,000683.70082eeaa84b4816bb56b966dc9e6568.0722
66,425.0,18,0.0,0.0,22022.0,0.0,0.0,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,20yQHFT,000683.70082eeaa84b4816bb56b966dc9e6568.0722
66,558.0,5,0.0,0.0,0.0,29.0,55408.0,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,20yQHFT,000683.70082eeaa84b4816bb56b966dc9e6568.0722
67,631.0,44,73897.0,0.0,0.0,0.0,0.0,bloomsday-is-coming,BLOOMSDAY IS COMING 🥰,haa9nmR,001153.9ff163adaa53430ab00844ddadde6a8c.1626
67,422.0,18,0.0,0.0,22049.0,0.0,0.0,bloomsday-is-coming,BLOOMSDAY IS COMING 🥰,haa9nmR,001153.9ff163adaa53430ab00844ddadde6a8c.1626
67,60.0,5,0.0,0.0,0.0,16.0,55408.0,bloomsday-is-coming,BLOOMSDAY IS COMING 🥰,haa9nmR,001153.9ff163adaa53430ab00844ddadde6a8c.1626
69,634.0,44,73932.0,0.0,0.0,0.0,0.0,new-culture-e-acc,new culture e/acc,sTOlg-4,valentine360
69,33.0,1,0.0,0.0,81470.0,0.0,0.0,new-culture-e-acc,new culture e/acc,sTOlg-4,valentine360
