id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username,engagement_score,normalized_score,mood_score,mood
24,75.0,1,0.0,5308.0,0.0,0.0,0.0,0,0,0,0,1592.6,0.06157344036377978,0.0,Negative
24,513.0,1,0.0,0.0,49859.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
24,56.0,18,0.0,0.0,0.0,92.0,63850.0,0,0,0,0,12770.2,0.4937784686294071,0.0,Negative
25,588.0,116,45287.0,0.0,0.0,0.0,0.0,0,0,0,0,13586.300000000001,0.5253346634805003,0.0,Negative
25,74.0,1,0.0,5336.0,0.0,0.0,0.0,0,0,0,0,1601.0,0.061898243741734915,0.0,Negative
25,512.0,1,0.0,0.0,49869.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
25,142.0,1,0.0,0.0,0.0,96.0,59825.0,0,0,0,0,11965.2,0.4626514782420404,0.0,Negative
32,473.0,44,66730.0,0.0,0.0,0.0,0.0,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,000205.c9295afebced4ceb96d0f7676a0ac604.0951,20019.2,0.7740760503909241,0.0,Negative
32,88.0,18,0.0,58571.0,0.0,0.0,0.0,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,000205.c9295afebced4ceb96d0f7676a0ac604.0951,17571.5,0.6794306660789272,0.0,Negative
32,153.0,1,0.0,0.0,49973.0,0.0,0.0,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,000205.c9295afebced4ceb96d0f7676a0ac604.0951,0.2,0.0,0.0,Negative
32,82.0,5,0.0,0.0,0.0,86.0,18016.0,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,000205.c9295afebced4ceb96d0f7676a0ac604.0951,3603.4,0.13932518231522942,0.0,Negative
34,633.0,44,66831.0,0.0,0.0,0.0,0.0,learn-to-think,Learn to think,PPnB7hP,001761.a36ebdbfb3c246beb2d1d03cc77bf009.1029,20049.5,0.7752476625756908,0.0,Negative
34,97.0,18,0.0,58864.0,0.0,0.0,0.0,learn-to-think,Learn to think,PPnB7hP,001761.a36ebdbfb3c246beb2d1d03cc77bf009.1029,17659.4,0.6828295014268149,0.0,Negative
34,155.0,1,0.0,0.0,49993.0,0.0,0.0,learn-to-think,Learn to think,PPnB7hP,001761.a36ebdbfb3c246beb2d1d03cc77bf009.1029,0.2,0.0,0.0,Negative
34,58.0,18,0.0,0.0,0.0,90.0,8837.0,learn-to-think,Learn to think,PPnB7hP,001761.a36ebdbfb3c246beb2d1d03cc77bf009.1029,1767.6000000000001,0.06834017740451168,0.0,Negative
35,67.0,44,67137.0,0.0,0.0,0.0,0.0,life-is-shorter-than-you-think,Life is shorter than you think,mYGJL63,JohnDoeUsername,20141.3,0.7787972994919147,0.0,Negative
35,94.0,18,0.0,58966.0,0.0,0.0,0.0,life-is-shorter-than-you-think,Life is shorter than you think,mYGJL63,JohnDoeUsername,17690.0,0.6840127137322228,0.0,Negative
35,158.0,1,0.0,0.0,50008.0,0.0,0.0,life-is-shorter-than-you-think,Life is shorter than you think,mYGJL63,JohnDoeUsername,0.2,0.0,0.0,Negative
